Stato,Area Geografica,Macro Regione,Regione,Provincia,Comune;
Italia,Nord,Nord-ovest,Piemonte,Torino,Agliè;
Italia,Nord,Nord-ovest,Piemonte,Torino,Airasca;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ala di Stura;
Italia,Nord,Nord-ovest,Piemonte,Torino,Albiano d'Ivrea;
Italia,Nord,Nord-ovest,Piemonte,Torino,Alice Superiore;
Italia,Nord,Nord-ovest,Piemonte,Torino,Almese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Alpette;
Italia,Nord,Nord-ovest,Piemonte,Torino,Alpignano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Andezeno;
Italia,Nord,Nord-ovest,Piemonte,Torino,Andrate;
Italia,Nord,Nord-ovest,Piemonte,Torino,Angrogna;
Italia,Nord,Nord-ovest,Piemonte,Torino,Arignano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Avigliana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Azeglio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bairo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Balangero;
Italia,Nord,Nord-ovest,Piemonte,Torino,Baldissero Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Baldissero Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Balme;
Italia,Nord,Nord-ovest,Piemonte,Torino,Banchette;
Italia,Nord,Nord-ovest,Piemonte,Torino,Barbania;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bardonecchia;
Italia,Nord,Nord-ovest,Piemonte,Torino,Barone Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Beinasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bibiana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bobbio Pellice;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bollengo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Borgaro Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Borgiallo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Borgofranco d'Ivrea;
Italia,Nord,Nord-ovest,Piemonte,Torino,Borgomasino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Borgone Susa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bosconero;
Italia,Nord,Nord-ovest,Piemonte,Torino,Brandizzo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bricherasio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Brosso;
Italia,Nord,Nord-ovest,Piemonte,Torino,Brozolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bruino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Brusasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bruzolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Buriasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Burolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Busano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Bussoleno;
Italia,Nord,Nord-ovest,Piemonte,Torino,Buttigliera Alta;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cafasse;
Italia,Nord,Nord-ovest,Piemonte,Torino,Caluso;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cambiano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Campiglione Fenile;
Italia,Nord,Nord-ovest,Piemonte,Torino,Candia Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Candiolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Canischio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cantalupa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cantoira;
Italia,Nord,Nord-ovest,Piemonte,Torino,Caprie;
Italia,Nord,Nord-ovest,Piemonte,Torino,Caravino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Carema;
Italia,Nord,Nord-ovest,Piemonte,Torino,Carignano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Carmagnola;
Italia,Nord,Nord-ovest,Piemonte,Torino,Casalborgone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cascinette d'Ivrea;
Italia,Nord,Nord-ovest,Piemonte,Torino,Caselette;
Italia,Nord,Nord-ovest,Piemonte,Torino,Caselle Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Castagneto Po;
Italia,Nord,Nord-ovest,Piemonte,Torino,Castagnole Piemonte;
Italia,Nord,Nord-ovest,Piemonte,Torino,Castellamonte;
Italia,Nord,Nord-ovest,Piemonte,Torino,Castelnuovo Nigra;
Italia,Nord,Nord-ovest,Piemonte,Torino,Castiglione Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cavagnolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cavour;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cercenasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ceres;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ceresole Reale;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cesana Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Chialamberto;
Italia,Nord,Nord-ovest,Piemonte,Torino,Chianocco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Chiaverano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Chieri;
Italia,Nord,Nord-ovest,Piemonte,Torino,Chiesanuova;
Italia,Nord,Nord-ovest,Piemonte,Torino,Chiomonte;
Italia,Nord,Nord-ovest,Piemonte,Torino,Chiusa di San Michele;
Italia,Nord,Nord-ovest,Piemonte,Torino,Chivasso;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ciconio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cintano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cinzano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ciriè;
Italia,Nord,Nord-ovest,Piemonte,Torino,Claviere;
Italia,Nord,Nord-ovest,Piemonte,Torino,Coassolo Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Coazze;
Italia,Nord,Nord-ovest,Piemonte,Torino,Collegno;
Italia,Nord,Nord-ovest,Piemonte,Torino,Colleretto Castelnuovo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Colleretto Giacosa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Condove;
Italia,Nord,Nord-ovest,Piemonte,Torino,Corio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cossano Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cuceglio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cumiana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Cuorgnè;
Italia,Nord,Nord-ovest,Piemonte,Torino,Druento;
Italia,Nord,Nord-ovest,Piemonte,Torino,Exilles;
Italia,Nord,Nord-ovest,Piemonte,Torino,Favria;
Italia,Nord,Nord-ovest,Piemonte,Torino,Feletto;
Italia,Nord,Nord-ovest,Piemonte,Torino,Fenestrelle;
Italia,Nord,Nord-ovest,Piemonte,Torino,Fiano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Fiorano Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Foglizzo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Forno Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Frassinetto;
Italia,Nord,Nord-ovest,Piemonte,Torino,Front;
Italia,Nord,Nord-ovest,Piemonte,Torino,Frossasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Garzigliana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Gassino Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Germagnano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Giaglione;
Italia,Nord,Nord-ovest,Piemonte,Torino,Giaveno;
Italia,Nord,Nord-ovest,Piemonte,Torino,Givoletto;
Italia,Nord,Nord-ovest,Piemonte,Torino,Gravere;
Italia,Nord,Nord-ovest,Piemonte,Torino,Groscavallo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Grosso;
Italia,Nord,Nord-ovest,Piemonte,Torino,Grugliasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ingria;
Italia,Nord,Nord-ovest,Piemonte,Torino,Inverso Pinasca;
Italia,Nord,Nord-ovest,Piemonte,Torino,Isolabella;
Italia,Nord,Nord-ovest,Piemonte,Torino,Issiglio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ivrea;
Italia,Nord,Nord-ovest,Piemonte,Torino,La Cassa;
Italia,Nord,Nord-ovest,Piemonte,Torino,La Loggia;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lanzo Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lauriano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Leini;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lemie;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lessolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Levone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Locana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lombardore;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lombriasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Loranzè;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lugnacco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Luserna San Giovanni;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lusernetta;
Italia,Nord,Nord-ovest,Piemonte,Torino,Lusigliè;
Italia,Nord,Nord-ovest,Piemonte,Torino,Macello;
Italia,Nord,Nord-ovest,Piemonte,Torino,Maglione;
Italia,Nord,Nord-ovest,Piemonte,Torino,Mappano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Marentino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Massello;
Italia,Nord,Nord-ovest,Piemonte,Torino,Mathi;
Italia,Nord,Nord-ovest,Piemonte,Torino,Mattie;
Italia,Nord,Nord-ovest,Piemonte,Torino,Mazzè;
Italia,Nord,Nord-ovest,Piemonte,Torino,Meana di Susa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Mercenasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Meugliano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Mezzenile;
Italia,Nord,Nord-ovest,Piemonte,Torino,Mombello di Torino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Mompantero;
Italia,Nord,Nord-ovest,Piemonte,Torino,Monastero di Lanzo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Moncalieri;
Italia,Nord,Nord-ovest,Piemonte,Torino,Moncenisio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Montaldo Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Montalenghe;
Italia,Nord,Nord-ovest,Piemonte,Torino,Montalto Dora;
Italia,Nord,Nord-ovest,Piemonte,Torino,Montanaro;
Italia,Nord,Nord-ovest,Piemonte,Torino,Monteu da Po;
Italia,Nord,Nord-ovest,Piemonte,Torino,Moriondo Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Nichelino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Noasca;
Italia,Nord,Nord-ovest,Piemonte,Torino,Nole;
Italia,Nord,Nord-ovest,Piemonte,Torino,Nomaglio;
Italia,Nord,Nord-ovest,Piemonte,Torino,None;
Italia,Nord,Nord-ovest,Piemonte,Torino,Novalesa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Oglianico;
Italia,Nord,Nord-ovest,Piemonte,Torino,Orbassano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Orio Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Osasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Osasio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Oulx;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ozegna;
